id;Роль сотрудника;ФИО;Логин;Пароль
0;2;Никифорова Весения Николаевна;94d5ous@gmail.com;uzWC67
1;2;Сазонов Руслан Германович;uth4iz@mail.com;2L6KZG
2;2;Одинцов Серафим Артёмович;yzls62@outlook.com;JlFRCZ
3;1;Степанов Михаил Артёмович;1diph5e@tutanota.com;8ntwUp
4;1;Ворсин Петр Евгеньевич;tjde7c@yahoo.com;YOyhfR
5;1;Старикова Елена Павловна;wpmrc3do@tutanota.com;RSbvHv
6;0;Михайлюк Анна Вячеславовна;5d4zbu@tutanota.com;rwVDh9
7;0;Ситдикова Елена Анатольевна;ptec8ym@yahoo.com;LdNyos
8;0;Ворсин Петр Евгеньевич;1qz4kw@mail.com;gynQMT
9;0;Старикова Елена Павловна;4np6se@mail.com;AtnDjr
